kof97	拳王97	KOF97	KOF 97
kof99p	拳王99	KOF99	KOF 99
kof2000n	拳王2000	K0F2000	KOF 2000
kof2001	拳王2001	K0F2001	KOF 2001
kof2002	拳王2002	K0F2002	KOF 2002
kof2003	拳王2003	K0F2003	KOF 2003
kof94	拳王94	K0F94	KOF 94
kof95	拳王95	K0F95	KOF 95
kof96	拳王96	K0F96	KOF 96
kof95h	拳王95加强	K0F95+	K0F95+
kof96h	拳王96加强	K0F96+	K0F96+
kof97pls	拳王97风云再起	K0F97 Plus	KOF97 플러스
kof2000	拳王2000加强版	K0F2000 Plus	K0F2000 Plus
kof2001h	拳王2001加强	K0F2001 Plus	K0F2001 Plus
kf2k2pla	拳王2002加强	K0F2002 Plus	K0F2002 Plus
kf2k2mp	拳王2002魔幻一	K0F2002 Magic	K0F2002 Magic
kf2k2mp2	拳王2002魔幻二	K0F2002 Magic II	KOF 2002 매직II
kf2k2pls	拳王2002风云再起	K0F2002 Super	K0F2002 Super
kof2002b	拳王2002冰蓝	K0F2002 ICE BLUE	K0F2002 ICE BLUE
cthd2003	卧虎藏龙2003	Cth2003	Cth2003
kf2k3bl	拳王 2003（自制版）	The King of Fighters 2003 	킹 오브 파이터즈 2003 
kf2k3pl	拳王 2004 EX Hero 	The King of Fighters 2004 Plus 	킹 오브 파이터즈 2004 Plus 
kf2k3upl	拳王 2004 EX 风云 Plus 	The King of Fighters 2004 Ultra Plus 	킹 오브 파이터즈 2004 울트라 Plus 
kf2k5uni	拳王10周年魔幻II	K0F10Th Unique II	KOF 10주년유니크II
kf10thep	拳王 十周年纪念	The King of Fighters 10th Anniversary Extra Plus	킹 오브 파이터즈 10주년 기념판 엑스트라 Plus
svcsplus	拳王对街霸加强版	SNK Vs Capcom Plus	SNK VS 캡콤플러스
mslug	合金弹头	Metal Slug	메탈슬러그
mslug2	合金弹头2	Metal Slug 2	메탈슬러그 2
mslug3	合金弹头3	Metal Slug 3	메탈슬러그 3
mslug4	合金弹头4	Metal Slug 4	메탈슬러그 4
mslug5	合金弹头5	Metal Slug 5	메탈슬러그 5
mslug3b6	合金弹头6	Metal Slug 6	메탈슬러그 6
mslugx	合金弹头X	Metal Slug X	메탈슬러그 X
mslug3h	合金弹头3加强版	Metal Slug 3+	메탈슬러그 3 플러스
ms5plus	合金弹头5加强版	Metal Slug 5 Plus	메탈슬러그 5 플러스
sf2	街头霸王 II - 天下斗士 	Street Fighter II: The World Warrior 	스트리트 파이터 II - 월드 워리어 	
sf2ud	街头霸王 II - 天下斗士（U）	Street Fighter II: The World Warrior (U)	스트리트 파이터 II - 월드 워리어 (U) 	
sf2hf	街头霸王 II - 战斗宣言 	Street Fighter II': Hyper Fighting 	스트리트 파이터 II' 터보 - 하이퍼 파이팅 	
